xi,val_loglik_base,val_loglik_elo_sum
0.0,-1.4970980147468502,-1.491550667207148
0.0005,-1.4973672062909134,-1.4923524515246451
0.001,-1.4977098787735352,-1.493144599784213
0.0015,-1.498001436801596,-1.4936292743464663
0.002,-1.4982828088241298,-1.4939577696673514
0.0025,-1.4985500961487632,-1.494214338064628
0.003,-1.498804087547587,-1.4944442497136345
0.0035,-1.499050003236003,-1.4946727346941842
0.004,-1.4992922419771109,-1.494912660159462
0.0045,-1.4995325950773237,-1.4951690678584408
0.005,-1.4997704988868292,-1.4954422643306733
0.0055,-1.5000038913439446,-1.49572992294931
0.006,-1.5002300437938931,-1.4960284718453747
0.0065,-1.5004461771554678,-1.496333974276901
0.007,-1.5006498482346637,-1.496642654805291
0.0075,-1.5008391499655807,-1.4969511834552098
0.008,-1.5010127797349937,-1.497256799584145
0.0085,-1.5011700232196639,-1.4975573344748188
0.009,-1.5013106899340147,-1.4978511744201743
0.0095,-1.5014350258862028,-1.4981371929611715
0.01,-1.501543619985091,-1.4984146711262913
